# Phase 4 シンボル抽出・照合報告

作成日: 2026/02/17
担当: Symbol_Agent

## 凡例
- **資料準拠**: スナップショットの Symbol Definitions に明記されているもの
- **提案/ドラフト**: スナップショット内で「提案/ドラフト」と注記されているもの（※印で表示）
- 演算子（≫, ⫸, ⟼, ∴, ⊳, ?=, ?!=, ∧）は「記法」として扱い、動詞リストには含めない

---

## 1. 名詞（データ実体）の抽出結果

### 1.1 既定義（constants.txt / variables.txt に登録済み）

#### 1.1.1 定数（constants.txt）— スナップショットで使用された 29 件

| シンボル | 名称 | 出現箇所 | スナップショットでの用途 |
|---|---|---|---|
| ህ | critical_state_definitions | Sn01, P3-01 | 危篤状態の判定基準集合 |
| ሡ | task_templates_dictionary | Sn01,10,19, P3-01,02,06 | タスクテンプレート辞書（リカバリー/来客/行動選択） |
| ᐗ | sensor_habituation_factor | Sn11 | センサー慣れ補正係数 |
| ር | mold_threshold_0_3 | Sn04 | カビリスク警戒閾値 |
| ሮ | target_mold_0_05 | Sn04 | カビリスク安全目標値 |
| ሯ | mold_intervention_template | Sn04 | カビ対策タスクテンプレート |
| ሰ | energy_cost_small | Sn04 | 早期介入の小コスト |
| ሱ | dust_threshold_0_4 | Sn05 | 埃蓄積の中程度閾値 |
| ሲ | activation_energy_cost | Sn05 | 掃除の固定コスト（起動コスト） |
| ሳ | reason_scale_economy_wait | Sn05 | 規模の経済待ちの理由コード |
| ሴ | kitchen_grime_threshold | Sn06 | キッチン汚れの許容上限 |
| ስ | target_grime_0_1 | Sn06 | 汚れ度の目標値 |
| ሶ | energy_cost_min | Sn06 | 最小エネルギーコスト |
| ሷ | air_quality_inflection_threshold | Sn07, P2-02, P3-04 | 空気質の変曲点閾値 |
| ሸ | micro_intervention_templates | Sn07, P3-04 | 微小介入タスクのテンプレート集合 |
| ሹ | target_air_quality_safe | Sn07, P3-04 | 空気質の安全目標値 |
| ሺ | cleaning_methods | Sn06 | 利用可能な清掃メソッド一覧 |
| ꄀ | env_to_measurement_capability_coefficient | P2-01 | 環境→測定能力の影響係数 |
| ꄄ | measurement_fatigue_threshold | P2-04 | 測定疲労による能力低下閾値 |
| ꄅ | edge_disconnect_threshold | P2-03 | エッジ解除判定の強度閾値 |
| ꄔ | critical_recurrence_window_hours | P3-01 | 危篤再発同一系列の時間窓 |
| ꄕ | response_timeout_threshold_seconds | P3-02 | 無反応判定の閾値（秒） |
| ꄖ | environment_recovery_min_threshold | P3-06 | 測定再開の最低環境回復閾値 |
| ꄗ | measurement_restart_min_stability | P3-06 | 測定再開前の安定継続時間閾値 |
| ሤ | threshold_measurement_capability_for_monitoring | Sn18, P2-01, P3-03,05 | モニタリング可能な測定能力閾値 |
| ሏ | measurement_limit_daily_max | Sn14 | 1日の測定時間推奨上限 |
| ሢ | threshold_discrepancy_for_dissociation_alert | Sn16 | 乖離警告閾値 |
| ሓ | noise_limit_concentration_db | P3-04, P3-06 | 騒音閾値 |
| ሂ | clutter_stress_threshold_count | P3-06 | 散らかり閾値 |

#### 1.1.2 変数（variables.txt）— 状態オブジェクト（3 件）

| シンボル | 名称 | 出現箇所 | スナップショットでの用途 |
|---|---|---|---|
| ꀴ | user_state_current | Sn01,02,05,07,11,15,16,19, P3-01,03 | ユーザー状態オブジェクト（状態更新・統合の中心） |
| ꀓ | environment_state_current | Sn04,05,06,07, P2-01,02, P3-04,06 | 環境状態オブジェクト |
| ꀫ | social_state_current | Sn10 | 社会的状態（来客受入フラグ更新） |

#### 1.1.3 変数 — センサー/入力値（7 件）

| シンボル | 名称 | 出現箇所 | スナップショットでの用途 |
|---|---|---|---|
| ꀔ | environmental_sensor_raw | Sn01,02,04,05,06,07,11,16, P3-01,04 | 環境センサー生値 |
| ꀵ | heart_rate_bpm | Sn02, Sn19 | 心拍数 |
| ꀶ | hrv_ms | Sn02, Sn19 | 心拍変動 |
| ꀷ | valence_score | Sn02 | 主観的快‐不快 |
| ꀸ | arousal_score | Sn02 | 覚醒度 |
| ꀹ | focus_score | Sn02 | 集中度 |
| ꀺ | fatigue_score | Sn02 | 疲労度 |

#### 1.1.4 変数 — 環境メトリクス（8 件）

| シンボル | 名称 | 出現箇所 | スナップショットでの用途 |
|---|---|---|---|
| ꀻ | mold_risk | Sn04 | カビ発生リスク |
| ꀼ | dust_accumulation | Sn05 | 埃の蓄積度 |
