U+A000 ꀀ
U+A001 ꀁ
U+A002 ꀂ
U+A003 ꀃ
U+A004 ꀄ
U+A005 ꀅ
U+A006 ꀆ
U+A007 ꀇ
U+A008 ꀈ
U+A009 ꀉ
U+A00A ꀊ
U+A00B ꀋ
U+A00C ꀌ
U+A00D ꀍ
U+A00E ꀎ
U+A00F ꀏ
U+A010 ꀐ
U+A011 ꀑ
U+A012 ꀒ
U+A013 ꀓ
U+A014 ꀔ
U+A015 ꀕ
U+A016 ꀖ
U+A017 ꀗ
U+A018 ꀘ
U+A019 ꀙ
U+A01A ꀚ
U+A01B ꀛ
U+A01C ꀜ
U+A01D ꀝ
U+A01E ꀞ
U+A01F ꀟ
U+A020 ꀠ
U+A021 ꀡ
U+A022 ꀢ
U+A023 ꀣ
U+A024 ꀤ
U+A025 ꀥ
U+A026 ꀦ
U+A027 ꀧ
U+A028 ꀨ
U+A029 ꀩ
U+A02A ꀪ
U+A02B ꀫ
U+A02C ꀬ
U+A02D ꀭ
U+A02E ꀮ
U+A02F ꀯ
U+A030 ꀰ
U+A031 ꀱ
U+A032 ꀲ
U+A033 ꀳ
U+A034 ꀴ
U+A035 ꀵ
U+A036 ꀶ
U+A037 ꀷ
U+A038 ꀸ
U+A039 ꀹ
U+A03A ꀺ
U+A03B ꀻ
U+A03C ꀼ
U+A03D ꀽ
U+A03E ꀾ
U+A03F ꀿ
U+A040 ꁀ
U+A041 ꁁ
U+A042 ꁂ
U+A043 ꁃ
U+A044 ꁄ
U+A045 ꁅ
U+A046 ꁆ
U+A047 ꁇ
U+A048 ꁈ
U+A049 ꁉ
U+A04A ꁊ
U+A04B ꁋ
U+A04C ꁌ
U+A04D ꁍ
U+A04E ꁎ
U+A04F ꁏ
U+A050 ꁐ
U+A051 ꁑ
U+A052 ꁒ
U+A053 ꁓ
U+A054 ꁔ
U+A055 ꁕ
U+A056 ꁖ
U+A057 ꁗ
U+A058 ꁘ
U+A059 ꁙ
U+A05A ꁚ
U+A05B ꁛ
U+A05C ꁜ
U+A05D ꁝ
U+A05E ꁞ
U+A05F ꁟ
U+A060 ꁠ
U+A061 ꁡ
U+A062 ꁢ
U+A063 ꁣ
U+A064 ꁤ
U+A065 ꁥ
U+A066 ꁦ
U+A067 ꁧ
U+A068 ꁨ
U+A069 ꁩ
U+A06A ꁪ
U+A06B ꁫ
U+A06C ꁬ
U+A06D ꁭ
U+A06E ꁮ
U+A06F ꁯ
U+A070 ꁰ
U+A071 ꁱ
U+A072 ꁲ
U+A073 ꁳ
U+A074 ꁴ
U+A075 ꁵ
U+A076 ꁶ
U+A077 ꁷ
U+A078 ꁸ
U+A079 ꁹ
U+A07A ꁺ
U+A07B ꁻ
U+A07C ꁼ
U+A07D ꁽ
U+A07E ꁾ
U+A07F ꁿ
U+A080 ꂀ
U+A081 ꂁ
U+A082 ꂂ
U+A083 ꂃ
U+A084 ꂄ
U+A085 ꂅ
U+A086 ꂆ
U+A087 ꂇ
U+A088 ꂈ
U+A089 ꂉ
U+A08A ꂊ
U+A08B ꂋ
U+A08C ꂌ
U+A08D ꂍ
U+A08E ꂎ
U+A08F ꂏ
U+A090 ꂐ
U+A091 ꂑ
U+A092 ꂒ
U+A093 ꂓ
U+A094 ꂔ
U+A095 ꂕ
U+A096 ꂖ
U+A097 ꂗ
U+A098 ꂘ
U+A099 ꂙ
U+A09A ꂚ
U+A09B ꂛ
U+A09C ꂜ
U+A09D ꂝ
U+A09E ꂞ
U+A09F ꂟ
U+A0A0 ꂠ
U+A0A1 ꂡ
U+A0A2 ꂢ
U+A0A3 ꂣ
U+A0A4 ꂤ
U+A0A5 ꂥ
U+A0A6 ꂦ
U+A0A7 ꂧ
U+A0A8 ꂨ
U+A0A9 ꂩ
U+A0AA ꂪ
U+A0AB ꂫ
U+A0AC ꂬ
U+A0AD ꂭ
U+A0AE ꂮ
U+A0AF ꂯ
U+A0B0 ꂰ
U+A0B1 ꂱ
U+A0B2 ꂲ
U+A0B3 ꂳ
U+A0B4 ꂴ
U+A0B5 ꂵ
U+A0B6 ꂶ
U+A0B7 ꂷ
U+A0B8 ꂸ
U+A0B9 ꂹ
U+A0BA ꂺ
U+A0BB ꂻ
U+A0BC ꂼ
U+A0BD ꂽ
U+A0BE ꂾ
U+A0BF ꂿ
